Family	Species	Gene
KLMA_10151	Kmarx	KLMA_10151
KLMA_10152	Kmarx	KLMA_10152
KLMA_10153	Kmarx	KLMA_10153
KLMA_10155	Kmarx	KLMA_10155
KLMA_10156	Kmarx	KLMA_10156
KLMA_10157	Kmarx	KLMA_10157
KLMA_10158	Kmarx	KLMA_10158
KLMA_10159	Kmarx	KLMA_10159
KLMA_10160	Kmarx	KLMA_10160
KLMA_10161	Kmarx	KLMA_10161
KLMA_10162	Kmarx	KLMA_10162
KLMA_10163	Kmarx	KLMA_10163
KLMA_10164	Kmarx	KLMA_10164
KLMA_10165	Kmarx	KLMA_10165
KLMA_10166	Kmarx	KLMA_10166
KLMA_10167	Kmarx	KLMA_10167
KLMA_10168	Kmarx	KLMA_10168
KLMA_10172	Kmarx	KLMA_10172
KLMA_10173	Kmarx	KLMA_10173
KLMA_10175	Kmarx	KLMA_10175
KLMA_10176	Kmarx	KLMA_10176
KLMA_10177	Kmarx	KLMA_10177
KLMA_10178	Kmarx	KLMA_10178
KLMA_10179	Kmarx	KLMA_10179
KLMA_10180	Kmarx	KLMA_10180
KLMA_10182	Kmarx	KLMA_10182
KLMA_10183	Kmarx	KLMA_10183
KLMA_10184	Kmarx	KLMA_10184
KLMA_10185	Kmarx	KLMA_10185
KLMA_10186	Kmarx	KLMA_10186
KLMA_10187	Kmarx	KLMA_10187
KLMA_10188	Kmarx	KLMA_10188
KLMA_10189	Kmarx	KLMA_10189
KLMA_10190	Kmarx	KLMA_10190
KLMA_10191	Kmarx	KLMA_10191
KLMA_10192	Kmarx	KLMA_10192
KLMA_10194	Kmarx	KLMA_10194
KLMA_10195	Kmarx	KLMA_10195
KLMA_10196	Kmarx	KLMA_10196
KLMA_10197	Kmarx	KLMA_10197
KLMA_10199	Kmarx	KLMA_10199
KLMA_10201	Kmarx	KLMA_10201
KLMA_10206	Kmarx	KLMA_10206
KLMA_10208	Kmarx	KLMA_10208
KLMA_10209	Kmarx	KLMA_10209
KLMA_10210	Kmarx	KLMA_10210
KLMA_10214	Kmarx	KLMA_10214
KLMA_10215	Kmarx	KLMA_10215
KLMA_10216	Kmarx	KLMA_10216
KLMA_10217	Kmarx	KLMA_10217
KLMA_10220	Kmarx	KLMA_10220
KLMA_10221	Kmarx	KLMA_10221
KLMA_10222	Kmarx	KLMA_10222
KLMA_10223	Kmarx	KLMA_10223
KLMA_10224	Kmarx	KLMA_10224
KLMA_10225 KLMA_50134	Kmarx	KLMA_10225 KLMA_50134
KLMA_10228	Kmarx	KLMA_10228
KLMA_10229 KLMA_50136	Kmarx	KLMA_10229 KLMA_50136
KLMA_10231	Kmarx	KLMA_10231
KLMA_10232	Kmarx	KLMA_10232
KLMA_10236	Kmarx	KLMA_10236
KLMA_10237	Kmarx	KLMA_10237
KLMA_10240	Kmarx	KLMA_10240
KLMA_10242	Kmarx	KLMA_10242
KLMA_10243	Kmarx	KLMA_10243
KLMA_10244	Kmarx	KLMA_10244
KLMA_10245	Kmarx	KLMA_10245
KLMA_10247	Kmarx	KLMA_10247
KLMA_10248	Kmarx	KLMA_10248
KLMA_10249	Kmarx	KLMA_10249
KLMA_10250	Kmarx	KLMA_10250
KLMA_10251	Kmarx	KLMA_10251
KLMA_10252	Kmarx	KLMA_10252
KLMA_10253	Kmarx	KLMA_10253
KLMA_10255	Kmarx	KLMA_10255
KLMA_10256	Kmarx	KLMA_10256
KLMA_10257	Kmarx	KLMA_10257
KLMA_10259	Kmarx	KLMA_10259
KLMA_10260	Kmarx	KLMA_10260
KLMA_10261	Kmarx	KLMA_10261
KLMA_10262	Kmarx	KLMA_10262
KLMA_10263	Kmarx	KLMA_10263
KLMA_10265	Kmarx	KLMA_10265
KLMA_10266	Kmarx	KLMA_10266
KLMA_10267	Kmarx	KLMA_10267
KLMA_10268	Kmarx	KLMA_10268
KLMA_10269	Kmarx	KLMA_10269
KLMA_10270	Kmarx	KLMA_10270
KLMA_10271	Kmarx	KLMA_10271
KLMA_10272	Kmarx	KLMA_10272
KLMA_10273	Kmarx	KLMA_10273
KLMA_10274	Kmarx	KLMA_10274
KLMA_10275	Kmarx	KLMA_10275
KLMA_10276	Kmarx	KLMA_10276
KLMA_10278	Kmarx	KLMA_10278
KLMA_10279	Kmarx	KLMA_10279
KLMA_10280	Kmarx	KLMA_10280
KLMA_10281	Kmarx	KLMA_10281
KLMA_10282	Kmarx	KLMA_10282
KLMA_10283	Kmarx	KLMA_10283
KLMA_10284	Kmarx	KLMA_10284
KLMA_10285	Kmarx	KLMA_10285
KLMA_10286	Kmarx	KLMA_10286
KLMA_10289	Kmarx	KLMA_10289
KLMA_10290	Kmarx	KLMA_10290
KLMA_10292	Kmarx	KLMA_10292
KLMA_10293	Kmarx	KLMA_10293
KLMA_10294	Kmarx	KLMA_10294
KLMA_10295	Kmarx	KLMA_10295
KLMA_10297	Kmarx	KLMA_10297
KLMA_10298	Kmarx	KLMA_10298
KLMA_10299	Kmarx	KLMA_10299
KLMA_10300	Kmarx	KLMA_10300
KLMA_10301	Kmarx	KLMA_10301
KLMA_10302	Kmarx	KLMA_10302
KLMA_10303	Kmarx	KLMA_10303
KLMA_10304	Kmarx	KLMA_10304
KLMA_10306	Kmarx	KLMA_10306
KLMA_10307	Kmarx	KLMA_10307
KLMA_10308	Kmarx	KLMA_10308
KLMA_10309	Kmarx	KLMA_10309
KLMA_10310	Kmarx	KLMA_10310
KLMA_10311	Kmarx	KLMA_10311
KLMA_10313	Kmarx	KLMA_10313
KLMA_10315	Kmarx	KLMA_10315
KLMA_10316	Kmarx	KLMA_10316
KLMA_10317	Kmarx	KLMA_10317
KLMA_10319	Kmarx	KLMA_10319
KLMA_10320	Kmarx	KLMA_10320
KLMA_10321	Kmarx	KLMA_10321
KLMA_10322	Kmarx	KLMA_10322
KLMA_10323	Kmarx	KLMA_10323
KLMA_10325	Kmarx	KLMA_10325
KLMA_10326	Kmarx	KLMA_10326
KLMA_10328	Kmarx	KLMA_10328
KLMA_10330	Kmarx	KLMA_10330
KLMA_10331	Kmarx	KLMA_10331
KLMA_10332	Kmarx	KLMA_10332
KLMA_10333	Kmarx	KLMA_10333
KLMA_10334	Kmarx	KLMA_10334
KLMA_10336	Kmarx	KLMA_10336
KLMA_10338	Kmarx	KLMA_10338
KLMA_10339	Kmarx	KLMA_10339
KLMA_10341	Kmarx	KLMA_10341
KLMA_10342	Kmarx	KLMA_10342
KLMA_10343	Kmarx	KLMA_10343
KLMA_10344	Kmarx	KLMA_10344
KLMA_10345	Kmarx	KLMA_10345
KLMA_10347	Kmarx	KLMA_10347
KLMA_10348	Kmarx	KLMA_10348
KLMA_10349	Kmarx	KLMA_10349
KLMA_10350	Kmarx	KLMA_10350
KLMA_10351	Kmarx	KLMA_10351
KLMA_10352	Kmarx	KLMA_10352
KLMA_10353	Kmarx	KLMA_10353
KLMA_10356	Kmarx	KLMA_10356
KLMA_10357	Kmarx	KLMA_10357
KLMA_10360	Kmarx	KLMA_10360
KLMA_10361	Kmarx	KLMA_10361
KLMA_10362	Kmarx	KLMA_10362
KLMA_10363	Kmarx	KLMA_10363
KLMA_10364	Kmarx	KLMA_10364
KLMA_10365	Kmarx	KLMA_10365
KLMA_10368	Kmarx	KLMA_10368
KLMA_10369	Kmarx	KLMA_10369
KLMA_10370	Kmarx	KLMA_10370
KLMA_10371	Kmarx	KLMA_10371
KLMA_10373	Kmarx	KLMA_10373
KLMA_10374	Kmarx	KLMA_10374
KLMA_10375	Kmarx	KLMA_10375
KLMA_10376	Kmarx	KLMA_10376
KLMA_10378	Kmarx	KLMA_10378
KLMA_10379	Kmarx	KLMA_10379
KLMA_10380	Kmarx	KLMA_10380
KLMA_10381	Kmarx	KLMA_10381
KLMA_10382	Kmarx	KLMA_10382
KLMA_10383	Kmarx	KLMA_10383
KLMA_10384	Kmarx	KLMA_10384
KLMA_10385	Kmarx	KLMA_10385
KLMA_10386	Kmarx	KLMA_10386
KLMA_10387	Kmarx	KLMA_10387
KLMA_10388	Kmarx	KLMA_10388
KLMA_10389	Kmarx	KLMA_10389
KLMA_10390	Kmarx	KLMA_10390
KLMA_10391	Kmarx	KLMA_10391
KLMA_10392	Kmarx	KLMA_10392
KLMA_10394	Kmarx	KLMA_10394
KLMA_10396	Kmarx	KLMA_10396
KLMA_10398	Kmarx	KLMA_10398
KLMA_10399	Kmarx	KLMA_10399
KLMA_10400	Kmarx	KLMA_10400
KLMA_10401	Kmarx	KLMA_10401
KLMA_10402	Kmarx	KLMA_10402
KLMA_10403	Kmarx	KLMA_10403
KLMA_10404	Kmarx	KLMA_10404
KLMA_10406	Kmarx	KLMA_10406
KLMA_10407	Kmarx	KLMA_10407
KLMA_10408	Kmarx	KLMA_10408
KLMA_10409	Kmarx	KLMA_10409
KLMA_10410	Kmarx	KLMA_10410
KLMA_10412	Kmarx	KLMA_10412
KLMA_10413	Kmarx	KLMA_10413
KLMA_10414	Kmarx	KLMA_10414
KLMA_10415	Kmarx	KLMA_10415
KLMA_10416	Kmarx	KLMA_10416
KLMA_10417	Kmarx	KLMA_10417
KLMA_10418	Kmarx	KLMA_10418
KLMA_10419	Kmarx	KLMA_10419
KLMA_10420	Kmarx	KLMA_10420
KLMA_10421	Kmarx	KLMA_10421
KLMA_10422	Kmarx	KLMA_10422
KLMA_10424	Kmarx	KLMA_10424
KLMA_10425	Kmarx	KLMA_10425
KLMA_10426	Kmarx	KLMA_10426
KLMA_10427	Kmarx	KLMA_10427
KLMA_10428	Kmarx	KLMA_10428
KLMA_10430	Kmarx	KLMA_10430
KLMA_10431	Kmarx	KLMA_10431
KLMA_10432	Kmarx	KLMA_10432
KLMA_10433	Kmarx	KLMA_10433
KLMA_10434	Kmarx	KLMA_10434
KLMA_10436	Kmarx	KLMA_10436
KLMA_10437	Kmarx	KLMA_10437
KLMA_10439	Kmarx	KLMA_10439
KLMA_10441	Kmarx	KLMA_10441
KLMA_10442	Kmarx	KLMA_10442
KLMA_10444	Kmarx	KLMA_10444
KLMA_10445	Kmarx	KLMA_10445
KLMA_10446	Kmarx	KLMA_10446
KLMA_10448	Kmarx	KLMA_10448
KLMA_10449	Kmarx	KLMA_10449
KLMA_10450	Kmarx	KLMA_10450
KLMA_10451	Kmarx	KLMA_10451
KLMA_10452	Kmarx	KLMA_10452
KLMA_10453	Kmarx	KLMA_10453
KLMA_10454	Kmarx	KLMA_10454
KLMA_10456	Kmarx	KLMA_10456
KLMA_10457	Kmarx	KLMA_10457
KLMA_10458	Kmarx	KLMA_10458
KLMA_10459	Kmarx	KLMA_10459
KLMA_10460	Kmarx	KLMA_10460
KLMA_10461	Kmarx	KLMA_10461
KLMA_10462	Kmarx	KLMA_10462
KLMA_10464	Kmarx	KLMA_10464
KLMA_10465	Kmarx	KLMA_10465
KLMA_10466	Kmarx	KLMA_10466
KLMA_10468	Kmarx	KLMA_10468
KLMA_10469	Kmarx	KLMA_10469
KLMA_10471	Kmarx	KLMA_10471
KLMA_10473	Kmarx	KLMA_10473
KLMA_10475	Kmarx	KLMA_10475
KLMA_10476	Kmarx	KLMA_10476
KLMA_10477	Kmarx	KLMA_10477
KLMA_10478	Kmarx	KLMA_10478
KLMA_10479	Kmarx	KLMA_10479
KLMA_10480	Kmarx	KLMA_10480
KLMA_10481	Kmarx	KLMA_10481
KLMA_10482	Kmarx	KLMA_10482
KLMA_10483	Kmarx	KLMA_10483
KLMA_10484	Kmarx	KLMA_10484
KLMA_10487	Kmarx	KLMA_10487
KLMA_10488	Kmarx	KLMA_10488
KLMA_10491	Kmarx	KLMA_10491
KLMA_10493	Kmarx	KLMA_10493
KLMA_10495	Kmarx	KLMA_10495
KLMA_10496	Kmarx	KLMA_10496
KLMA_10498	Kmarx	KLMA_10498
KLMA_10499	Kmarx	KLMA_10499
KLMA_10500	Kmarx	KLMA_10500
KLMA_10501	Kmarx	KLMA_10501
KLMA_10503	Kmarx	KLMA_10503
KLMA_10504	Kmarx	KLMA_10504
KLMA_10505	Kmarx	KLMA_10505
KLMA_10506	Kmarx	KLMA_10506
KLMA_10507	Kmarx	KLMA_10507
KLMA_10508	Kmarx	KLMA_10508
KLMA_10509	Kmarx	KLMA_10509
KLMA_10510	Kmarx	KLMA_10510
KLMA_10511	Kmarx	KLMA_10511
KLMA_10512	Kmarx	KLMA_10512
KLMA_10513	Kmarx	KLMA_10513
KLMA_10514	Kmarx	KLMA_10514
KLMA_10516	Kmarx	KLMA_10516
KLMA_10518	Kmarx	KLMA_10518
KLMA_10519	Kmarx	KLMA_10519
KLMA_10521	Kmarx	KLMA_10521
KLMA_10522	Kmarx	KLMA_10522
KLMA_10524	Kmarx	KLMA_10524
KLMA_10525	Kmarx	KLMA_10525
KLMA_10526	Kmarx	KLMA_10526
KLMA_10527	Kmarx	KLMA_10527
KLMA_10531	Kmarx	KLMA_10531
KLMA_10532	Kmarx	KLMA_10532
KLMA_10533	Kmarx	KLMA_10533
KLMA_10534	Kmarx	KLMA_10534
KLMA_10535	Kmarx	KLMA_10535
KLMA_10536	Kmarx	KLMA_10536
KLMA_10540	Kmarx	KLMA_10540
KLMA_10541	Kmarx	KLMA_10541
KLMA_10545	Kmarx	KLMA_10545
KLMA_10546	Kmarx	KLMA_10546
KLMA_10547	Kmarx	KLMA_10547
KLMA_10548	Kmarx	KLMA_10548
KLMA_10549	Kmarx	KLMA_10549
KLMA_10550	Kmarx	KLMA_10550
KLMA_10552	Kmarx	KLMA_10552
KLMA_10553	Kmarx	KLMA_10553
KLMA_10554 KLMA_40195	Kmarx	KLMA_10554 KLMA_40195
KLMA_10556	Kmarx	KLMA_10556
KLMA_10557	Kmarx	KLMA_10557
KLMA_10558	Kmarx	KLMA_10558
KLMA_10559	Kmarx	KLMA_10559
KLMA_10562	Kmarx	KLMA_10562
KLMA_10563	Kmarx	KLMA_10563
KLMA_10564	Kmarx	KLMA_10564
KLMA_10566	Kmarx	KLMA_10566
KLMA_10568	Kmarx	KLMA_10568
KLMA_10569	Kmarx	KLMA_10569
KLMA_10572	Kmarx	KLMA_10572
KLMA_10574	Kmarx	KLMA_10574
KLMA_10575	Kmarx	KLMA_10575
KLMA_10576	Kmarx	KLMA_10576
KLMA_10577	Kmarx	KLMA_10577
KLMA_10579	Kmarx	KLMA_10579
KLMA_10580	Kmarx	KLMA_10580
KLMA_10581	Kmarx	KLMA_10581
KLMA_10582	Kmarx	KLMA_10582
KLMA_10583	Kmarx	KLMA_10583
KLMA_10585	Kmarx	KLMA_10585
KLMA_10587	Kmarx	KLMA_10587
KLMA_10588	Kmarx	KLMA_10588
KLMA_10589	Kmarx	KLMA_10589
KLMA_10590	Kmarx	KLMA_10590
KLMA_10591	Kmarx	KLMA_10591
KLMA_10592	Kmarx	KLMA_10592
KLMA_10594	Kmarx	KLMA_10594
KLMA_10595	Kmarx	KLMA_10595
KLMA_10597	Kmarx	KLMA_10597
KLMA_10598	Kmarx	KLMA_10598
KLMA_10599	Kmarx	KLMA_10599
KLMA_10603	Kmarx	KLMA_10603
KLMA_10604	Kmarx	KLMA_10604
KLMA_10606	Kmarx	KLMA_10606
KLMA_10607	Kmarx	KLMA_10607
KLMA_10609	Kmarx	KLMA_10609
KLMA_10610	Kmarx	KLMA_10610
KLMA_10611	Kmarx	KLMA_10611
KLMA_10612	Kmarx	KLMA_10612
KLMA_10614	Kmarx	KLMA_10614
KLMA_10615	Kmarx	KLMA_10615
KLMA_10616	Kmarx	KLMA_10616
KLMA_10617	Kmarx	KLMA_10617
KLMA_10618	Kmarx	KLMA_10618
KLMA_10619	Kmarx	KLMA_10619
KLMA_10620	Kmarx	KLMA_10620
KLMA_10621	Kmarx	KLMA_10621
KLMA_10622	Kmarx	KLMA_10622
KLMA_10623	Kmarx	KLMA_10623
KLMA_10624	Kmarx	KLMA_10624
KLMA_10625	Kmarx	KLMA_10625
KLMA_10626	Kmarx	KLMA_10626
KLMA_10628	Kmarx	KLMA_10628
KLMA_10629	Kmarx	KLMA_10629
KLMA_10631	Kmarx	KLMA_10631
KLMA_10633	Kmarx	KLMA_10633
KLMA_10634	Kmarx	KLMA_10634
KLMA_10635	Kmarx	KLMA_10635
KLMA_10636	Kmarx	KLMA_10636
KLMA_10638	Kmarx	KLMA_10638
KLMA_10640	Kmarx	KLMA_10640
KLMA_10641	Kmarx	KLMA_10641
KLMA_10642	Kmarx	KLMA_10642
KLMA_10643	Kmarx	KLMA_10643
KLMA_10645	Kmarx	KLMA_10645
KLMA_10646	Kmarx	KLMA_10646
KLMA_10648	Kmarx	KLMA_10648
KLMA_10649	Kmarx	KLMA_10649
KLMA_10650	Kmarx	KLMA_10650
KLMA_10653	Kmarx	KLMA_10653
KLMA_10654	Kmarx	KLMA_10654
KLMA_10655	Kmarx	KLMA_10655
KLMA_10656	Kmarx	KLMA_10656
KLMA_10658	Kmarx	KLMA_10658
KLMA_10659	Kmarx	KLMA_10659
KLMA_10660	Kmarx	KLMA_10660
KLMA_10661	Kmarx	KLMA_10661
KLMA_10662	Kmarx	KLMA_10662
KLMA_10663	Kmarx	KLMA_10663
KLMA_10664	Kmarx	KLMA_10664
KLMA_10667	Kmarx	KLMA_10667
KLMA_10668	Kmarx	KLMA_10668
KLMA_10669	Kmarx	KLMA_10669
KLMA_10670	Kmarx	KLMA_10670
KLMA_10671	Kmarx	KLMA_10671
KLMA_10672	Kmarx	KLMA_10672
KLMA_10673	Kmarx	KLMA_10673
KLMA_10674	Kmarx	KLMA_10674
KLMA_10675	Kmarx	KLMA_10675
KLMA_10677	Kmarx	KLMA_10677
KLMA_10678	Kmarx	KLMA_10678
KLMA_10679	Kmarx	KLMA_10679
KLMA_10680	Kmarx	KLMA_10680
KLMA_10681	Kmarx	KLMA_10681
KLMA_10682	Kmarx	KLMA_10682
KLMA_10683	Kmarx	KLMA_10683
KLMA_10685	Kmarx	KLMA_10685
KLMA_10686	Kmarx	KLMA_10686
KLMA_10687	Kmarx	KLMA_10687
KLMA_10688	Kmarx	KLMA_10688
KLMA_10689	Kmarx	KLMA_10689
KLMA_10690	Kmarx	KLMA_10690
KLMA_10691	Kmarx	KLMA_10691
KLMA_10692	Kmarx	KLMA_10692
KLMA_10693	Kmarx	KLMA_10693
KLMA_10694	Kmarx	KLMA_10694
KLMA_10695	Kmarx	KLMA_10695
KLMA_10698	Kmarx	KLMA_10698
KLMA_10700	Kmarx	KLMA_10700
KLMA_10701	Kmarx	KLMA_10701
KLMA_10702	Kmarx	KLMA_10702
KLMA_10703	Kmarx	KLMA_10703
KLMA_10704	Kmarx	KLMA_10704
KLMA_10705	Kmarx	KLMA_10705
KLMA_10706	Kmarx	KLMA_10706
KLMA_10707	Kmarx	KLMA_10707
KLMA_10708	Kmarx	KLMA_10708
KLMA_10709	Kmarx	KLMA_10709
KLMA_10710	Kmarx	KLMA_10710
KLMA_10711	Kmarx	KLMA_10711
KLMA_10712	Kmarx	KLMA_10712
KLMA_10713	Kmarx	KLMA_10713
KLMA_10714	Kmarx	KLMA_10714
KLMA_10715	Kmarx	KLMA_10715
KLMA_10717	Kmarx	KLMA_10717
KLMA_10718	Kmarx	KLMA_10718
KLMA_10719	Kmarx	KLMA_10719
KLMA_10720	Kmarx	KLMA_10720
KLMA_10721	Kmarx	KLMA_10721
KLMA_10722	Kmarx	KLMA_10722
KLMA_10723	Kmarx	KLMA_10723
KLMA_10725	Kmarx	KLMA_10725
KLMA_10726	Kmarx	KLMA_10726
KLMA_10727	Kmarx	KLMA_10727
KLMA_10728	Kmarx	KLMA_10728
KLMA_10729	Kmarx	KLMA_10729
KLMA_10731	Kmarx	KLMA_10731
KLMA_10732	Kmarx	KLMA_10732
KLMA_10733	Kmarx	KLMA_10733
KLMA_10734	Kmarx	KLMA_10734
KLMA_10735	Kmarx	KLMA_10735
KLMA_10736	Kmarx	KLMA_10736
KLMA_10739	Kmarx	KLMA_10739
KLMA_10741	Kmarx	KLMA_10741
KLMA_10742	Kmarx	KLMA_10742
KLMA_10743	Kmarx	KLMA_10743
KLMA_10744	Kmarx	KLMA_10744
KLMA_10745	Kmarx	KLMA_10745
KLMA_10747	Kmarx	KLMA_10747
KLMA_10748	Kmarx	KLMA_10748
KLMA_10752	Kmarx	KLMA_10752
KLMA_10753	Kmarx	KLMA_10753
KLMA_10755	Kmarx	KLMA_10755
KLMA_10756	Kmarx	KLMA_10756
KLMA_10757	Kmarx	KLMA_10757
KLMA_10758	Kmarx	KLMA_10758
KLMA_10760 KLMA_20185	Kmarx	KLMA_10760 KLMA_20185
KLMA_10761	Kmarx	KLMA_10761
KLMA_10762	Kmarx	KLMA_10762
KLMA_10763	Kmarx	KLMA_10763
KLMA_10764	Kmarx	KLMA_10764
KLMA_10765	Kmarx	KLMA_10765
KLMA_10766	Kmarx	KLMA_10766
KLMA_10767	Kmarx	KLMA_10767
KLMA_10768	Kmarx	KLMA_10768
KLMA_10769	Kmarx	KLMA_10769
KLMA_10771	Kmarx	KLMA_10771
KLMA_10772	Kmarx	KLMA_10772
KLMA_10774	Kmarx	KLMA_10774
KLMA_10775	Kmarx	KLMA_10775
KLMA_10776	Kmarx	KLMA_10776
KLMA_10777	Kmarx	KLMA_10777
KLMA_10778	Kmarx	KLMA_10778
KLMA_10779	Kmarx	KLMA_10779
KLMA_10780	Kmarx	KLMA_10780
KLMA_10781	Kmarx	KLMA_10781
KLMA_10782	Kmarx	KLMA_10782
KLMA_10783	Kmarx	KLMA_10783
KLMA_10784	Kmarx	KLMA_10784
KLMA_10786	Kmarx	KLMA_10786
KLMA_10787	Kmarx	KLMA_10787
KLMA_10788	Kmarx	KLMA_10788
KLMA_10789	Kmarx	KLMA_10789
KLMA_10791	Kmarx	KLMA_10791
KLMA_10793	Kmarx	KLMA_10793
KLMA_10794	Kmarx	KLMA_10794
KLMA_10795	Kmarx	KLMA_10795
KLMA_10796	Kmarx	KLMA_10796
KLMA_10797	Kmarx	KLMA_10797
KLMA_10798	Kmarx	KLMA_10798
KLMA_10799	Kmarx	KLMA_10799
KLMA_10800	Kmarx	KLMA_10800
KLMA_10802	Kmarx	KLMA_10802
KLMA_10803	Kmarx	KLMA_10803
KLMA_10804	Kmarx	KLMA_10804
KLMA_10805	Kmarx	KLMA_10805
KLMA_10807	Kmarx	KLMA_10807
KLMA_10808	Kmarx	KLMA_10808
KLMA_10809	Kmarx	KLMA_10809
KLMA_10810	Kmarx	KLMA_10810
KLMA_10811	Kmarx	KLMA_10811
KLMA_10812	Kmarx	KLMA_10812
KLMA_10813	Kmarx	KLMA_10813
KLMA_10815	Kmarx	KLMA_10815
KLMA_10816	Kmarx	KLMA_10816
KLMA_10818	Kmarx	KLMA_10818
KLMA_10819	Kmarx	KLMA_10819
KLMA_10821	Kmarx	KLMA_10821
KLMA_10824	Kmarx	KLMA_10824
